CMC ID,CMC Name,CMC Symbol,CMC Rank,Reason,Candidate CG IDs (tied on symbol)
40558,AIVIVE,AVV,254,unmatched,
39682,Pharos,PROS,301,ambiguous_symbol,pharos-network (Pharos); prospective (Prospective); prosper (Prosper [OLD]); prosper-2 (Prosper); wrapped-pros (Wrapped PROS)
42007,A Meme Coin,MEME,484,ambiguous_symbol,1-meme-can-change-your-life (1 meme can change your life); memecoin-2 (Memecoin); memetoon (MEMETOON); most-elegant-monkey-ever (MOST ELEGANT MONKEY EVER); mpx6900 (MPX6900)
4064,USDK,USDK,542,unmatched,
23081,UNS TOKEN,UNS,595,unmatched,
36354,Goldgr,GOLDGR,746,unmatched,
6731,Tokamak Network,TOKAMAK,793,unmatched,
39150,RateX,RTX,852,ambiguous_symbol,orbitx-dao (OrbitX DAO); ternium-s-a-rstock (Ternium S.A. rStock)
38961,ULTILAND,ARTX,921,unmatched,
2222,Bitcoin Diamond,BCD,933,unmatched,
37016,Klickl Token,KLK,971,unmatched,
40957,AIW3.ai,AIW3,1005,unmatched,
258,Groestlcoin,GRS,1010,unmatched,
5200,Gleec Coin,GLEEC,1079,unmatched,
1681,PRIZM,PZM,1130,unmatched,
32171,Purple Pepe,$PURPE,1162,unmatched,
16352,Green Satoshi Token (SOL),GST,1192,unmatched,
22359,CONX,XPLA,1214,unmatched,
22052,SpaceN,SN,1394,unmatched,
28443,Verified USD,USDV,1397,ambiguous_symbol,delpho-usdv (Delpho USDV); solomon-usdv (Solomon USDv); usdv-3 (USDV)
362,CloakCoin,CLOAK,1398,unmatched,
4283,BitForex Token,BF,1486,unmatched,
20650,USD Coin (Wormhole),USDC(WormHole),1500,unmatched,
35693,BORGY,BORGY,1554,unmatched,
12602,Stable Fuse,ONEFUSE,1616,unmatched,
9212,CumRocket,CUMMIES,1664,unmatched,
15185,Kujira,KUJI,1676,unmatched,
40697,Intel Tokenized Stock (Robinhood),INTC,1679,ambiguous_symbol,intel-backpack-securities (Intel (Backpack Securities)); intel-dinari-tokenized-stock (Intel (Dinari Tokenized Stock)); intel-robinhood-tokenized-stock (Intel • Robinhood Token)
39409,错版马,哭哭马,1704,unmatched,
36101,Quq,QUQ,1708,unmatched,
21414,Dogechain,DC,1732,ambiguous_symbol,davidcoin (DavidCoin); dollar-coin (Dollar Coin); donaldcat (DONALDCAT)
9467,Celo Euro,CEUR,1738,unmatched,
41961,Moderna Tokenized bStocks,MRNAB,1831,unmatched,
21929,Kwenta,KWENTA,1835,unmatched,
4116,TOKPIE,TKP,1836,unmatched,
39048,Hachiko,$HACHI,1868,unmatched,
24143,RENEC,RENEC,1883,unmatched,
5125,Mochimo,MCM,1950,unmatched,
2790,Euro,EUR,,unmatched,
41962,ProShares UltraPro Short QQQ Tokenized bStocks,SQQQB,,unmatched,
41960,CrowdStrike Tokenized bStocks,CRWDB,,unmatched,
41963,Seagate Tokenized bStocks,STXB,,unmatched,
